Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,151NSETEST,36724,FUTSTK,XX,-1,151NSETEST,151NSETEST NOV36 FUT,151NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,161NSETEST,36725,FUTSTK,XX,-1,161NSETEST,161NSETEST NOV36 FUT,161NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,TATASTEEL,36886,OPTSTK,CE,170,TATA STEEL LIMITED,TATASTEEL APR 170 CE,TATASTEEL24APR25C170,2025-04-24,5500,0.05
NFO,nse_fo,TATASTEEL,36888,OPTSTK,PE,170,TATA STEEL LIMITED,TATASTEEL APR 170 PE,TATASTEEL24APR25P170,2025-04-24,5500,0.05
NFO,nse_fo,INDUSINDBK,36897,OPTSTK,CE,560,INDUSIND BANK LIMITED,INDUSINDBK APR 560 CE,INDUSINDBK24APR25C560,2025-04-24,500,0.05
NFO,nse_fo,INDUSINDBK,36902,OPTSTK,PE,560,INDUSIND BANK LIMITED,INDUSINDBK APR 560 PE,INDUSINDBK24APR25P560,2025-04-24,500,0.05
NFO,nse_fo,LT,36963,OPTSTK,CE,2740,LARSEN & TOUBRO LTD.,LT APR 2740 CE,LT24APR25C2740,2025-04-24,150,0.05
NFO,nse_fo,LT,36964,OPTSTK,PE,2740,LARSEN & TOUBRO LTD.,LT APR 2740 PE,LT24APR25P2740,2025-04-24,150,0.05
NFO,nse_fo,LT,36967,OPTSTK,CE,2740,LARSEN & TOUBRO LTD.,LT MAY 2740 CE,LT29MAY25C2740,2025-05-29,150,0.05
NFO,nse_fo,LT,36969,OPTSTK,PE,2740,LARSEN & TOUBRO LTD.,LT MAY 2740 PE,LT29MAY25P2740,2025-05-29,150,0.05
NFO,nse_fo,PERSISTENT,37196,OPTSTK,CE,3900,PERSISTENT SYSTEMS LTD,PERSISTENT APR 3900 CE,PERSISTENT24APR25C3900,2025-04-24,100,0.05
NFO,nse_fo,PERSISTENT,37197,OPTSTK,PE,3900,PERSISTENT SYSTEMS LTD,PERSISTENT APR 3900 PE,PERSISTENT24APR25P3900,2025-04-24,100,0.05
NFO,nse_fo,PERSISTENT,37204,OPTSTK,CE,3900,PERSISTENT SYSTEMS LTD,PERSISTENT MAY 3900 CE,PERSISTENT29MAY25C3900,2025-05-29,100,0.05
NFO,nse_fo,PERSISTENT,37205,OPTSTK,PE,3900,PERSISTENT SYSTEMS LTD,PERSISTENT MAY 3900 PE,PERSISTENT29MAY25P3900,2025-05-29,100,0.05
