Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,EURUSD,5236,OPTCUR,CE,1.165,EURUSD,EURUSD28MAY25C1.165,EURUSD MAY 1.165 CE,2025-05-28,1,0.0001
CDS,cde_fo,EURINR,5237,OPTCUR,CE,97.5,EURINR,EURINR17APR25C97.5,EURINR 17th APR 97.5 CE,2025-04-17,1,0.0025
CDS,cde_fo,GBPINR,5238,OPTCUR,CE,107,GBPINR,GBPINR27MAR26C107,GBPINR 27th MAR26 107 CE,2026-03-27,1,0.0025
CDS,cde_fo,JPYINR,5239,OPTCUR,CE,62.5,JPYINR,JPYINR16MAY25C62.5,JPYINR 16th MAY 62.5 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5240,OPTCUR,PE,62.5,JPYINR,JPYINR16MAY25P62.5,JPYINR 16th MAY 62.5 PE,2025-05-16,1,0.0025
CDS,cde_fo,GBPINR,5241,OPTCUR,PE,107,GBPINR,GBPINR27MAR26P107,GBPINR 27th MAR26 107 PE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5242,OPTCUR,CE,107.25,GBPINR,GBPINR27MAR26C107.25,GBPINR 27th MAR26 107.25 CE,2026-03-27,1,0.0025
CDS,cde_fo,JPYINR,5243,OPTCUR,PE,61.5,JPYINR,JPYINR26JUN25P61.5,JPYINR 26th JUN 61.5 PE,2025-06-26,1,0.0025
CDS,cde_fo,EURINR,5244,OPTCUR,PE,97.5,EURINR,EURINR17APR25P97.5,EURINR 17th APR 97.5 PE,2025-04-17,1,0.0025
CDS,cde_fo,JPYINR,5245,OPTCUR,CE,61.75,JPYINR,JPYINR26JUN25C61.75,JPYINR 26th JUN 61.75 CE,2025-06-26,1,0.0025
CDS,cde_fo,JPYINR,5246,OPTCUR,PE,61.75,JPYINR,JPYINR26JUN25P61.75,JPYINR 26th JUN 61.75 PE,2025-06-26,1,0.0025
CDS,cde_fo,JPYINR,5247,OPTCUR,CE,56.75,JPYINR,JPYINR09MAY25C56.75,JPYINR 9th MAY 56.75 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5248,OPTCUR,PE,56.75,JPYINR,JPYINR09MAY25P56.75,JPYINR 9th MAY 56.75 PE,2025-05-09,1,0.0025
CDS,cde_fo,EURUSD,5249,OPTCUR,PE,1.165,EURUSD,EURUSD28MAY25P1.165,EURUSD MAY 1.165 PE,2025-05-28,1,0.0001
CDS,cde_fo,GBPINR,5250,OPTCUR,PE,107.25,GBPINR,GBPINR27MAR26P107.25,GBPINR 27th MAR26 107.25 PE,2026-03-27,1,0.0025
