Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,NDGL,204326,E,NAGA DHUNSERI GROUP LTD,NDGL,1,0.05,NDGL
BSE,bse_cm,SHAIVAL,204337,E,SHAIVAL REALITY LIMITED,SHAIVAL,3600,0.05,SHAIVAL
BSE,bse_cm,GROBTEA,204347,E,THE GROB TEA COMPANY LTD,GROBTEA,1,0.05,GROBTEA
BSE,bse_cm,STEELCITY,204419,E,STEEL CITY SECURITIES LTD,STEELCITY,1,0.01,STEELCITY
BSE,bse_cm,GTECJAINX,204471,E,G-TEC JAINX EDUCATION LTD,GTECJAINX,1,0.01,GTECJAINX
BSE,bse_cm,KALYANI$,204505,E,KALYANI COMMERCIALS LTD,KALYANI$,1,0.01,KALYANI$
BSE,bse_cm,MITCON,204669,E,MITCON CON & ENG SER LTD,MITCON,1,0.01,MITCON
BSE,bse_cm,GICL,204730,E,GLOBE INTL CARRIERS LTD,GICL,1500,0.05,GICL
BSE,bse_cm,ASPINWALL,204739,E,ASPINWALL & CO LTD,ASPINWALL,1,0.01,ASPINWALL
BSE,bse_cm,PKTEA,204759,E,THE P K TEA PROD CO LTD,PKTEA,1,0.05,PKTEA
BSE,bse_cm,THEJO,204968,E,THEJO ENGINEERING LIMITED,THEJO,1,0.05,THEJO
BSE,bse_cm,LFIC,204994,E,LAKSHMI FIN IND CORP LTD,LFIC,1,0.01,LFIC
BSE,bse_cm,WIPL,205116,E,THE WESTERN INDIA PLY LTD,WIPL,1,0.01,WIPL
BSE,bse_cm,SILLYMONKS,205181,E,SILLY MONKS ENTERTAIN LTD,SILLYMONKS,1,0.01,SILLYMONKS
BSE,bse_cm,SANGINITA,205222,E,SANGINITA CHEMICALS LTD,SANGINITA,1,0.01,SANGINITA
BSE,bse_cm,AVSL,205279,E,AVSL INDUSTRIES LIMITED,AVSL,1000,0.05,AVSL
BSE,bse_cm,PARIN,205337,E,PARIN ENTERPRISES LIMITED,PARIN,500,0.05,PARIN
BSE,bse_cm,ACEINTEG,205354,E,ACE INTEGRATED SOLU. LTD.,ACEINTEG,1,0.01,ACEINTEG
BSE,bse_cm,MAHESHWARI,205355,E,MAHESHWARI LOGISTICS LTD.,MAHESHWARI,1,0.01,MAHESHWARI
BSE,bse_cm,ARVEE,205428,E,ARVEE LABORATORIES I LTD,ARVEE,1,0.01,ARVEE
BSE,bse_cm,LIBAS,205469,E,LIBAS CONSU PRODUCTS LTD,LIBAS,1,0.01,LIBAS
BSE,bse_cm,MHHL,205578,E,MOHINI HEALTH&HYGIENE LTD,MHHL,1500,0.05,MHHL
BSE,bse_cm,REPL,205597,E,RUDRABHISHEK ENTERP LTD,REPL,1,0.01,REPL
BSE,bse_cm,KKVAPOW,205638,E,KKV AGRO POWERS LTD.,KKVAPOW,156,0.05,KKVAPOW
BSE,bse_cm,MINDPOOL,205653,E,MINDPOOL TECHNOLOGIES LTD,MINDPOOL,1000,0.05,MINDPOOL
BSE,bse_cm,SIKKO,205751,E,SIKKO INDUSTRIES LIMITED,SIKKO,1,0.01,SIKKO
BSE,bse_cm,JAKHARIA,205786,E,JAKHARIA FABRIC LIMITED,JAKHARIA,800,0.05,JAKHARIA
BSE,bse_cm,SILGO,205873,E,SILGO RETAIL LIMITED,SILGO,1,0.01,SILGO
BSE,bse_cm,APOLSINHOT,205935,E,APOLLO SINDOORI HOTEL LTD,APOLSINHOT,1,0.05,APOLSINHOT
BSE,bse_cm,PRECOT,205936,E,PRECOT LIMITED,PRECOT,1,0.05,PRECOT
